method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'/login.jsp',b'',0,0,0,0,0,0,1
POST,b'/doLogin',b'uid=user&passw=password&btnSubmit=Login',0,0,0,0,0,1,1
GET,b'/',b'',0,0,0,0,0,0,1
GET,b'/login.jsp',b'',0,0,0,0,0,0,1
GET,b'/index.jsp',b'',0,0,0,0,0,0,1
GET,b'/logout.jsp',b'',0,0,0,0,0,0,1
GET,b'/bank/main.jsp',b'',0,0,0,0,0,0,1
POST,b'/doLogin',b'uid=admin&passw=admin&btnSubmit=Login',0,0,0,0,0,1,1
GET,b'/login.jsp',b'',0,0,0,0,0,0,1
GET,b'/search.jsp?query=%3Cscript%3Ealert%281%29%3C%2Fscript%3E',b'',0,0,0,1,0,0,1
GET,b'/search.jsp?query=%3Cscript%3Ealert(1)%3C%2Fscript%3E',b'',0,0,0,1,0,0,1
GET,b'/',b'',0,0,0,0,0,0,1
